1001547125;6676912;391844;091;043B;
100154576S;6681327;383224;091;033E;
100163754U;6677732;392119;091;045G;
100163789Y;6677050;391365;091;043B;
100154604N;6681461;382656;091;033C;
100154639T;6679590;384500;091;028A;
100154639T;6679590;384500;091;028A;
100154566E;6681019;383163;091;033E;
100154567F;6681067;383159;091;033E;
100154672V;6677107;383938;091;029C;
100154669S;6676333;382988;091;029A;
1001547070;6673774;391872;091;049A;
100163754U;6677732;392119;091;045G;
100163769A;6677833;392133;091;045G;
1001637047;6677018;392165;091;043B;
100163747L;6677581;392095;091;045G;
100163753T;6677667;392158;091;045G;
100163769A;6677833;392133;091;045G;
100163778L;6677978;392190;091;045G;
100163811N;6677438;392033;091;045G;
100163712F;6678168;392383;091;045G;
100163752S;6677654;392212;091;045G;
100163776J;6677927;392184;091;045G;
1001637911;6677125;391424;091;043B;
100163711E;6678140;392372;091;045G;
100163748M;6677602;392071;091;045G;
100163748M;6677602;392071;091;045G;
1001638232;6677097;391488;091;043B;
1001638243;6676758;391761;091;043B;
100163727Y;6678390;392481;091;045G;
100163727Y;6678390;392481;091;045G;
100163773E;6677891;392155;091;045G;
1001637324;6677515;392291;091;045G;
1001637590;6677794;392018;091;045G;
1001637999;6677273;391465;091;043B;
100163808K;6677404;392154;091;045G;
100163716L;6678193;392417;091;045G;
100163740C;6677613;392347;091;045G;
100163775H;6677952;392164;091;045G;
1001637025;6677004;391778;091;043B;
100163708B;6678048;392302;091;045G;
100163755V;6677716;392182;091;045G;
100163810M;6677434;392060;091;045G;
1001636981;6676867;392114;091;043B;
100163746K;6677572;392126;091;045G;
1001637933;6677152;391427;091;043B;
1001637656;6677773;392304;091;045G;
100163756W;6677707;392215;091;045G;
100163722T;6678292;392522;091;045G;
100163780N;6677928;392293;091;045G;
100163781P;6676992;391386;091;043B;
100163715K;6678124;392462;091;045G;
1001637623;6677732;392264;091;045G;
100163777K;6677904;392205;091;045G;
100163777K;6677904;392205;091;045G;
100163784T;6677086;391452;091;043B;
1001637955;6677242;391414;091;043B;
1001637966;6677202;391525;091;043B;
1001638221;6677113;391481;091;043B;
100163726X;6678381;392424;091;045G;
1001637291;6677532;392124;091;045G;
100173163B;6678614;380787;091;046B;
1001732450;6680269;380189;091;032A;
1001829579;6673642;389400;091;042A;
100173174P;6679690;380587;091;032A;
100173196D;6679478;380325;091;032A;
1001732206;6679462;380692;091;032A;
100173243X;6680216;380190;091;032A;
1001731542;6678279;380648;091;046B;
100173169J;6678673;380848;091;046B;
100173231J;6679582;380486;091;032A;
100182945W;6673207;389751;091;042A;
100182963F;6673665;388921;091;042A;
100182970P;6673645;388962;091;042A;
100182970P;6673645;388962;091;042A;
1001829834;6673497;389344;091;042A;
1001829214;6673099;389822;091;042A;
100182989A;6673519;389680;091;042A;
100191238D;6673157;389661;091;042A;
100182934J;6673415;389441;091;042A;
100182934J;6673415;389441;091;042A;
100182991C;6673517;389688;091;042A;
100182991C;6673517;389688;091;042A;
1001731852;6679171;380248;091;032A;
100173200J;6680202;380231;091;032A;
100173229F;6679647;380362;091;032A;
100173236P;6678633;381023;091;046B;
100182990B;6673497;389676;091;042A;
100183002R;6673535;389545;091;042A;
100182975V;6673531;389631;091;042A;
100183000N;6673897;388796;091;042A;
100182967L;6673707;388858;091;042A;
100208203N;6682317;390600;091;039C;
1002094308;6671348;392271;091;049D;
100182971R;6673624;389076;091;042A;
100182971R;6673624;389076;091;042A;
100191221V;6673552;389861;091;042A;
100191329B;6678469;387578;091;028G;
100191222W;6673934;388938;091;042A;
100191222W;6673934;388938;091;042A;
1001912327;6673498;389902;091;042A;
100191208E;6673822;390079;091;042A;
1001998485;6671230;390721;091;049A;
100191240F;6673195;389695;091;042A;
100191330C;6677952;386109;091;028B;
1002094275;6671368;392239;091;049D;
100209443N;6671253;392526;091;049D;
100208209V;6681340;390636;091;038D;
1002030094;6669936;391736;091;051A;
100209433B;6671275;392366;091;049D;
100209495B;6671134;392853;091;049D;
100208210W;6681333;390644;091;038D;
100209476R;6671890;391662;091;049B;
100209514Y;6671233;392965;091;049D;
100209514Y;6671233;392965;091;049D;
100209439J;6671201;392389;091;049D;
100209441L;6671170;392369;091;049D;
1002094862;6671113;392724;091;049D;
1002094286;6671352;392253;091;049D;
100209450W;6671185;392328;091;049D;
100209496C;6671115;392864;091;049D;
1002094873;6671120;392754;091;049D;
100209447T;6671305;392248;091;049D;
100209448U;6671246;392187;091;049D;
1002082152;6676290;396514;091;054E;
100209464B;6672078;393367;091;049D;
1002094928;6671172;392711;091;049D;
100209502K;6671115;393009;091;049D;
100209504M;6671100;392996;091;049D;
100209437F;6671250;392425;091;049D;
100209437F;6671250;392425;091;049D;
100209480V;6671239;392244;091;049D;
1002094851;6671092;392734;091;049D;
100209432A;6671324;392262;091;049D;
100209442M;6671190;392441;091;049D;
100209442M;6671190;392441;091;049D;
100209503L;6671106;393019;091;049D;
1002094895;6671120;392809;091;049D;
1002130180;6684102;390837;091;040E;
100209506P;6671062;393044;091;049D;
100209451X;6671160;392330;091;049D;
100209473M;6672271;391768;091;049B;
100209473M;6672271;391768;091;049B;
1002094895;6671120;392809;091;049D;
100209527C;6670541;395202;091;049D;
100209421Y;6671586;391853;091;049D;
100209505N;6671091;393006;091;049D;
1002095194;6672988;392453;091;049C;
1002129925;6683770;389032;091;040B;
1002094552;6671114;392419;091;049D;
100209512W;6670991;393001;091;049D;
100213000D;6684112;389191;091;040B;
100212917R;6669339;390656;091;051A;
100212985X;6683730;389127;091;040B;
1002129903;6683944;388983;091;040B;
1002129936;6683751;389038;091;040B;
1002129936;6683751;389038;091;040B;
100213008N;6683623;389877;091;040C;
1002030061;6669934;391605;091;051A;
100213001E;6684052;389213;091;040B;
100213005K;6683910;389246;091;040B;
100212974K;6683688;388987;091;040B;
100213010R;6683674;390000;091;040C;
100209510U;6671022;393023;091;049D;
1002129958;6684147;389209;091;040B;
100212985X;6683730;389127;091;040B;
100213009P;6683664;389886;091;040C;
1002094596;6671252;392707;091;049D;
100213014V;6684057;390398;091;040D;
100213015W;6684192;390746;091;040E;
100213015W;6684192;390746;091;040E;
100212982U;6684009;389009;091;040B;
100213002F;6683994;389224;091;040B;
100212983V;6683879;389044;091;040B;
100212983V;6683879;389044;091;040B;
